Player,PTS_avg,AST_avg,TRB_avg,STL_avg,BLK_avg
A.J. Green,4.4,0.6,1.3,0.2,0.0
A.J. Lawson,3.7,0.1,1.4,0.1,0.0
AJ Griffin,8.9,1.0,2.1,0.6,0.2
Aaron Gordon,14.566666666666668,2.9,6.066666666666666,0.7000000000000001,0.7000000000000001
Aaron Henry,0.3,0.0,0.2,0.0,0.3
Aaron Holiday,5.8,1.8999999999999997,1.4666666666666668,0.6666666666666666,0.16666666666666666
Aaron Nesmith,6.2,0.7333333333333334,2.766666666666667,0.5,0.26666666666666666
Aaron Wiggins,7.550000000000001,1.25,3.3,0.6,0.2
Abdel Nader,4.55,0.65,2.25,0.5,0.35
Adam Mokoka,1.1,0.4,0.4,0.1,0.1
Ade Murkey,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,4.0,0.75,2.0,0.15000000000000002,0.1
Ahmad Caver,2.0,0.0,0.0,0.0,0.0
Al Horford,11.4,3.266666666666667,6.866666666666667,0.7000000000000001,1.0666666666666667
Al-Farouq Aminu,4.4,1.3,4.8,0.8,0.4
Alec Burks,12.4,2.466666666666667,4.2,0.7666666666666666,0.26666666666666666
Aleem Ford,2.8,0.4,3.0,0.2,0.0
Aleksej Pokusevski,7.966666666666666,2.066666666666667,4.866666666666667,0.5333333333333333,0.9333333333333335
Alen Smailagić,1.9,0.3,1.1,0.2,0.3
Alex Caruso,6.466666666666666,3.233333333333333,3.1333333333333333,1.4333333333333333,0.4666666666666666
Alex Len,4.766666666666667,0.8333333333333334,3.5,0.26666666666666666,0.6666666666666666
Alfonzo McKinnie,3.3,0.25,1.65,0.15000000000000002,0.1
Alize Johnson,2.9333333333333336,0.5,3.4,0.26666666666666666,0.09999999999999999
Alondes Williams,0.0,0.0,1.0,0.0,0.0
Alperen Şengün,12.2,3.25,7.25,0.8500000000000001,0.9
Amida Brimah,2.6,0.2,1.6,0.0,1.0
Amir Coffey,5.2,1.1333333333333335,1.6666666666666667,0.3,0.10000000000000002
Anderson Varejão,2.6,0.6,4.0,0.0,0.4
Andre Drummond,9.6,1.4333333333333333,9.299999999999999,1.0666666666666667,0.7999999999999999
Andre Iguodala,3.5,2.8000000000000003,2.9333333333333336,0.7666666666666666,0.5666666666666667
Andre Roberson,1.2,0.8,3.0,0.6,0.2
Andrew Nembhard,9.5,4.5,2.7,0.9,0.2
Andrew Wiggins,17.633333333333336,2.3000000000000003,4.8,1.0333333333333334,0.8333333333333334
Anfernee Simons,15.4,3.133333333333333,2.466666666666667,0.5,0.13333333333333333
Anthony Davis,23.633333333333336,2.9333333333333336,10.1,1.2,1.9666666666666668
Anthony Edwards,21.733333333333334,3.6999999999999997,5.1000000000000005,1.4000000000000001,0.6
Anthony Gill,3.5,0.5333333333333333,1.8666666666666665,0.19999999999999998,0.2333333333333333
Anthony Lamb,4.066666666666666,1.1666666666666667,2.3000000000000003,0.26666666666666666,0.16666666666666666
Anthony Tolliver,1.5,0.2,0.9,0.3,0.2
Anžejs Pasečņiks,0.0,1.0,1.0,0.0,0.0
Armoni Brooks,8.25,1.3,2.65,0.55,0.25
Arnoldas Kulboka,0.0,0.0,0.0,0.0,0.0
Aron Baynes,6.1,0.9,5.2,0.3,0.4
Ashton Hagans,0.0,0.0,0.0,0.0,0.0
Austin Reaves,10.15,2.6,3.1,0.5,0.3
Austin Rivers,6.266666666666667,1.6666666666666667,1.8666666666666665,0.7000000000000001,0.10000000000000002
Avery Bradley,6.4,1.25,2.1500000000000004,0.8500000000000001,0.1
Axel Toupane,1.8,0.5,0.8,0.3,0.4
Ayo Dosunmu,8.7,2.95,2.8,0.8,0.35
B.J. Johnson,6.5,0.0,3.8,0.0,0.3
Bam Adebayo,19.400000000000002,4.0,9.433333333333332,1.2666666666666666,0.8666666666666667
Ben McLemore,8.95,0.8,1.75,0.5,0.2
Ben Simmons,10.600000000000001,6.5,6.75,1.4500000000000002,0.6
Bennedict Mathurin,16.7,1.5,4.1,0.6,0.2
Bismack Biyombo,5.033333333333333,0.9,4.733333333333333,0.3,1.0666666666666667
Blake Griffin,7.166666666666667,2.1333333333333333,4.266666666666667,0.5,0.26666666666666666
Blake Wesley,5.0,2.7,2.2,0.7,0.1
Boban Marjanović,4.1000000000000005,0.2333333333333333,2.5,0.10000000000000002,0.13333333333333333
Bobby Portis,13.366666666666667,1.2666666666666666,8.6,0.6333333333333333,0.43333333333333335
Bogdan Bogdanović,15.166666666666666,3.0666666666666664,3.5666666666666664,1.0,0.26666666666666666
Bojan Bogdanović,18.900000000000002,2.066666666666667,4.0,0.5666666666666667,0.06666666666666667
Bol Bol,4.566666666666666,0.5333333333333333,2.6666666666666665,0.20000000000000004,0.5333333333333333
Bones Hyland,10.95,2.95,2.55,0.6499999999999999,0.3
Brad Wanamaker,4.55,2.65,1.7,0.5,0.25
Bradley Beal,25.900000000000002,5.466666666666666,4.433333333333334,1.0,0.5
Brandon Boston Jr.,6.6,0.95,1.8,0.45,0.15
Brandon Clarke,10.233333333333334,1.4000000000000001,5.466666666666666,0.7333333333333334,0.9
Brandon Goodwin,4.85,2.25,1.7,0.55,0.0
Brandon Ingram,23.733333333333334,5.433333333333334,5.3999999999999995,0.6666666666666666,0.5
Brandon Knight,6.4,1.6,1.6,0.2,0.0
