Player,PTS,AST,TRB,STL,BLK
A.J. Green,4.4,0.6,1.3,0.2,0.0
Bobby Portis,13.4,1.3,8.6,0.6,0.4
Brook Lopez,13.5,0.8,5.3,0.6,1.7
Giannis Antetokounmpo,29.7,5.8,11.5,1.0,1.1
Goran Dragić,9.1,3.7,2.6,0.6,0.2
Grayson Allen,10.7,2.0,3.3,0.8,0.2
Jae Crowder,8.8,1.8,4.6,1.0,0.4
Jevon Carter,5.4,1.7,1.9,0.6,0.3
Joe Ingles,8.7,3.8,3.1,0.6,0.1
Jrue Holiday,18.4,6.8,4.7,1.5,0.5
Khris Middleton,18.5,5.2,5.2,1.0,0.2
Lindell Wigginton,5.7,1.6,1.2,0.2,0.2
MarJon Beauchamp,5.1,0.7,2.2,0.4,0.1
Meyers Leonard,4.1,0.4,3.1,0.1,0.0
Pat Connaughton,8.1,1.3,4.5,0.7,0.2
Serge Ibaka,7.3,1.0,4.7,0.2,0.7
Thanasis Antetokounmpo,2.6,0.6,1.8,0.3,0.2
Wesley Matthews,4.4,0.8,1.9,0.5,0.3
Dorian Finney-Smith,9.7,1.7,5.0,0.9,0.5
Dwight Powell,7.1,1.1,4.3,0.6,0.4
Harrison Barnes,15.8,2.5,5.6,0.7,0.2
Nerlens Noel,3.5,0.7,4.9,1.1,1.3
Seth Curry,12.2,2.6,2.4,0.7,0.1
Yogi Ferrell,5.6,2.2,1.9,0.7,0.3
A.J. Lawson,3.7,0.1,1.4,0.1,0.0
Chris Silva,2.2,0.4,1.8,0.0,0.2
Christian Wood,18.5,1.9,9.0,0.7,1.1
Dāvis Bertāns,7.2,0.7,2.1,0.4,0.2
Facundo Campazzo,4.2,2.7,1.4,1.0,0.2
Frank Ntilikina,3.2,1.0,1.2,0.4,0.1
JaVale McGee,7.0,0.6,4.8,0.3,1.0
Jaden Hardy,8.8,1.4,1.9,0.4,0.1
Josh Green,5.5,1.2,2.5,0.6,0.1
Justin Holiday,8.4,1.4,2.5,0.7,0.5
Kemba Walker,13.0,3.5,2.9,0.7,0.2
Kyrie Irving,27.1,5.8,4.8,1.3,0.7
Luka Dončić,29.5,8.4,8.6,1.2,0.5
Markieff Morris,6.0,1.2,3.0,0.4,0.2
Maxi Kleber,6.7,1.3,4.9,0.4,0.8
McKinley Wright IV,2.6,1.4,0.9,0.2,0.1
Reggie Bullock,8.9,1.4,3.5,0.7,0.2
Theo Pinson,1.7,0.7,1.0,0.2,0.0
Tim Hardaway Jr.,15.1,1.9,3.5,0.7,0.2
Tyler Dorsey,3.0,0.0,0.7,0.0,0.0
Darren Collison,1.3,0.7,1.3,0.3,0.0
George Hill,6.6,2.3,2.2,0.7,0.1
Lance Stephenson,8.3,3.6,2.8,0.5,0.1
Paul George,23.8,5.3,6.5,1.6,0.4
Al-Farouq Aminu,4.4,1.3,4.8,0.8,0.4
Anthony Davis,23.6,2.9,10.1,1.2,2.0
Aron Baynes,6.1,0.9,5.2,0.3,0.4
Austin Rivers,6.3,1.7,1.9,0.7,0.1
Bradley Beal,25.9,5.5,4.4,1.0,0.5
Carmelo Anthony,13.4,1.3,3.7,0.7,0.7
Cory Joseph,7.7,3.5,2.3,0.7,0.2
Danny Green,7.0,1.1,2.5,0.9,0.6
Darius Miller,4.1,1.2,1.3,0.7,0.3
Draymond Green,7.7,7.6,7.2,1.3,0.9
Eric Gordon,14.5,2.7,2.0,0.5,0.4
Garrett Temple,4.9,1.3,2.0,0.6,0.3
Iman Shumpert,1.0,0.0,0.5,0.5,0.0
Jared Dudley,0.5,0.4,1.8,0.1,0.1
Joe Johnson,2.0,0.0,0.0,0.0,0.0
John Wall,16.0,6.1,3.0,1.0,0.6
Kawhi Leonard,24.3,4.6,6.5,1.5,0.5
Kent Bazemore,5.3,1.3,2.6,0.8,0.4
Klay Thompson,21.2,2.6,4.0,0.6,0.5
