W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2012,Northwest Division
47,19,0.712,—,103.1,96.9,6.44,2012,Oklahoma City Thunder*
38,28,0.576,9,104.1,101.2,3.16,2012,Denver Nuggets*
36,30,0.545,11,99.7,99,0.92,2012,Utah Jazz*
28,38,0.424,19,97.2,97.8,-0.22,2012,Portland Trail Blazers
26,40,0.394,21,97.9,100.1,-1.83,2012,Minnesota Timberwolves
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2012,Pacific Division
41,25,0.621,—,97.3,95.9,1.96,2012,Los Angeles Lakers*
40,26,0.606,1,97.5,95,2.82,2012,Los Angeles Clippers*
33,33,0.5,8,98.4,98.6,0.29,2012,Phoenix Suns
23,43,0.348,18,97.8,101.2,-2.79,2012,Golden State Warriors
22,44,0.333,19,98.8,104.4,-4.95,2012,Sacramento Kings
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2012,Southwest Division
50,16,0.758,—,103.7,96.5,7.28,2012,San Antonio Spurs*
41,25,0.621,9,95,93,2.43,2012,Memphis Grizzlies*
36,30,0.545,14,95.8,94.8,1.78,2012,Dallas Mavericks*
34,32,0.515,16,98.1,97.9,0.57,2012,Houston Rockets
21,45,0.318,29,89.6,93.4,-3.11,2012,New Orleans Hornets
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2013,Northwest Division
60,22,0.732,—,105.7,96.5,9.15,2013,Oklahoma City Thunder*
57,25,0.695,3,106.1,101.1,5.37,2013,Denver Nuggets*
43,39,0.524,17,98,98.1,0.3,2013,Utah Jazz
33,49,0.402,27,97.5,100.7,-2.53,2013,Portland Trail Blazers
31,51,0.378,29,95.7,98.1,-1.83,2013,Minnesota Timberwolves
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2013,Pacific Division
56,26,0.683,—,101.1,94.6,6.43,2013,Los Angeles Clippers*
47,35,0.573,9,101.2,100.3,1.32,2013,Golden State Warriors*
45,37,0.549,11,102.2,101,1.48,2013,Los Angeles Lakers*
28,54,0.341,28,100.2,105.1,-4.26,2013,Sacramento Kings
25,57,0.305,31,95.2,101.6,-5.75,2013,Phoenix Suns
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2013,Southwest Division
58,24,0.707,—,103,96.6,6.67,2013,San Antonio Spurs*
56,26,0.683,2,93.4,89.3,4.32,2013,Memphis Grizzlies*
45,37,0.549,13,106,102.5,3.69,2013,Houston Rockets*
41,41,0.5,17,101.1,101.7,-0.24,2013,Dallas Mavericks
27,55,0.329,31,94.1,97.9,-3.12,2013,New Orleans Hornets
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2014,Northwest Division
59,23,0.72,—,106.2,99.8,6.66,2014,Oklahoma City Thunder*
54,28,0.659,5,106.7,102.8,4.44,2014,Portland Trail Blazers*
40,42,0.488,19,106.9,104.3,3.1,2014,Minnesota Timberwolves
36,46,0.439,23,104.4,106.5,-1.4,2014,Denver Nuggets
25,57,0.305,34,95,102.2,-6.27,2014,Utah Jazz
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2014,Pacific Division
57,25,0.695,—,107.9,101,7.27,2014,Los Angeles Clippers*
51,31,0.622,6,104.3,99.5,5.15,2014,Golden State Warriors*
48,34,0.585,9,105.2,102.6,3.02,2014,Phoenix Suns
28,54,0.341,29,100.5,103.4,-2.08,2014,Sacramento Kings
27,55,0.329,30,103,109.2,-5.33,2014,Los Angeles Lakers
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2014,Southwest Division
62,20,0.756,—,105.4,97.6,8,2014,San Antonio Spurs*
54,28,0.659,8,107.7,103.1,5.06,2014,Houston Rockets*
50,32,0.61,12,96.1,94.6,2.18,2014,Memphis Grizzlies*
49,33,0.598,13,104.8,102.4,2.91,2014,Dallas Mavericks*
34,48,0.415,28,99.7,102.4,-1.98,2014,New Orleans Pelicans
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2015,Northwest Division
51,31,0.622,—,102.8,98.6,4.41,2015,Portland Trail Blazers*
45,37,0.549,6,104,101.8,2.47,2015,Oklahoma City Thunder
38,44,0.463,13,95.1,94.9,0.71,2015,Utah Jazz
30,52,0.366,21,101.5,105,-3.07,2015,Denver Nuggets
16,66,0.195,35,97.8,106.5,-8,2015,Minnesota Timberwolves
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2015,Pacific Division
67,15,0.817,—,110,99.9,10.01,2015,Golden State Warriors*
56,26,0.683,11,106.7,100.1,6.8,2015,Los Angeles Clippers*
39,43,0.476,28,102.4,103.3,-0.38,2015,Phoenix Suns
29,53,0.354,38,101.3,105,-3.07,2015,Sacramento Kings
21,61,0.256,46,98.5,105.3,-6.17,2015,Los Angeles Lakers
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2015,Southwest Division
56,26,0.683,—,103.9,100.5,3.82,2015,Houston Rockets*
55,27,0.671,1,98.3,95.1,3.62,2015,Memphis Grizzlies*
55,27,0.671,1,103.2,97,6.34,2015,San Antonio Spurs*
50,32,0.61,6,105.2,102.3,3.36,2015,Dallas Mavericks*
45,37,0.549,11,99.4,98.6,1.13,2015,New Orleans Pelicans*
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2016,Northwest Division
55,27,0.671,—,110.2,102.9,7.09,2016,Oklahoma City Thunder*
44,38,0.537,11,105.1,104.3,0.98,2016,Portland Trail Blazers*
40,42,0.488,15,97.7,95.9,1.84,2016,Utah Jazz
33,49,0.402,22,101.9,105,-2.81,2016,Denver Nuggets
29,53,0.354,26,102.4,106,-3.38,2016,Minnesota Timberwolves
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2016,Pacific Division
73,9,0.89,—,114.9,104.1,10.38,2016,Golden State Warriors*
53,29,0.646,20,104.5,100.2,4.13,2016,Los Angeles Clippers*
33,49,0.402,40,106.6,109.1,-2.32,2016,Sacramento Kings
23,59,0.28,50,100.9,107.5,-6.32,2016,Phoenix Suns
17,65,0.207,56,97.3,106.9,-8.92,2016,Los Angeles Lakers
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2016,Southwest Division
67,15,0.817,—,103.5,92.9,10.28,2016,San Antonio Spurs*
42,40,0.512,25,102.3,102.6,-0.02,2016,Dallas Mavericks*
42,40,0.512,25,99.1,101.3,-2.14,2016,Memphis Grizzlies*
41,41,0.5,26,106.5,106.4,0.34,2016,Houston Rockets*
30,52,0.366,37,102.7,106.5,-3.56,2016,New Orleans Pelicans
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2017,Northwest Division
51,31,0.622,—,100.7,96.8,4,2017,Utah Jazz*
47,35,0.573,4,106.6,105.8,1.14,2017,Oklahoma City Thunder*
41,41,0.5,10,107.9,108.5,-0.23,2017,Portland Trail Blazers*
40,42,0.488,11,111.7,111.2,0.7,2017,Denver Nuggets
31,51,0.378,20,105.6,106.7,-0.64,2017,Minnesota Timberwolves
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2017,Pacific Division
67,15,0.817,—,115.9,104.3,11.35,2017,Golden State Warriors*
51,31,0.622,16,108.7,104.4,4.42,2017,Los Angeles Clippers*
32,50,0.39,35,102.8,106.7,-3.29,2017,Sacramento Kings
26,56,0.317,41,104.6,111.5,-6.29,2017,Los Angeles Lakers
24,58,0.293,43,107.7,113.3,-5.14,2017,Phoenix Suns
